Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group
WaterUse:Equipment,DHW Level1:Zone6,Peak Flow Rate,2.31e-07,1.57542e-07,3.38415e-07,Uniform,Float,1
WaterUse:Equipment,DHW Level1:Zone3,Peak Flow Rate,6.75e-08,4.6035e-08,9.88875e-08,Uniform,Float,2
WaterUse:Equipment,DHW Level1:Zone2,Peak Flow Rate,5.78e-08,3.94196e-08,8.467700000000001e-08,Uniform,Float,3
WaterUse:Equipment,DHW Level1:Zone4,Peak Flow Rate,9.869999999999999e-08,6.731340000000001e-08,1.445955e-07,Uniform,Float,4
WaterUse:Equipment,DHW Level1:Zone5,Peak Flow Rate,4.0400000000000004e-08,2.75528e-08,5.9186e-08,Uniform,Float,5
WaterUse:Equipment,DHW Level1:Zone15,Peak Flow Rate,4.96e-07,3.3827199999999997e-07,7.2664e-07,Uniform,Float,6
WaterUse:Equipment,DHW Level1:Zone11,Peak Flow Rate,5.59e-08,3.81238e-08,8.189349999999999e-08,Uniform,Float,7
WaterUse:Equipment,DHW Level1Z1:Zone1,Peak Flow Rate,2.77e-07,1.88914e-07,4.0580499999999997e-07,Uniform,Float,8
WaterUse:Equipment,DHW Level1Z1:Zone4,Peak Flow Rate,7.23e-08,4.93086e-08,1.0591950000000001e-07,Uniform,Float,9
WaterUse:Equipment,DHW Level1Z1:Zone51,Peak Flow Rate,2.3300000000000004e-05,1.58906e-05,3.41345e-05,Uniform,Float,10
WaterUse:Equipment,DHW Level1Z1:Zone39,Peak Flow Rate,3.39e-07,2.31198e-07,4.96635e-07,Uniform,Float,11
WaterUse:Equipment,DHW Level1Z1:Zone9,Peak Flow Rate,1.3599999999999997e-07,9.275200000000002e-08,1.9923999999999998e-07,Uniform,Float,12
WaterUse:Equipment,DHW Level1Z1:Zone12,Peak Flow Rate,6.230000000000001e-08,4.2488599999999996e-08,9.126950000000001e-08,Uniform,Float,13
WaterUse:Equipment,DHW Level1Z1:Zone7,Peak Flow Rate,7.06e-08,4.81492e-08,1.0342899999999999e-07,Uniform,Float,14
WaterUse:Equipment,DHW Level1Z1:Zone45,Peak Flow Rate,4.810000000000001e-08,3.28042e-08,7.04665e-08,Uniform,Float,15
WaterUse:Equipment,DHW Level1Z1:Zone47,Peak Flow Rate,1.1699999999999999e-07,7.9794e-08,1.71405e-07,Uniform,Float,16
WaterUse:Equipment,DHW Level1Z1:Zone44,Peak Flow Rate,5.33e-08,3.6350600000000004e-08,7.808450000000001e-08,Uniform,Float,17
WaterUse:Equipment,DHW Level1Z1:Zone2,Peak Flow Rate,5.57e-07,3.79874e-07,8.160049999999999e-07,Uniform,Float,18
WaterUse:Equipment,DHW Level1Z1:Zone43,Peak Flow Rate,3.95e-07,2.6939e-07,5.786749999999999e-07,Uniform,Float,19
WaterUse:Equipment,DHW Level1Z1:Zone38,Peak Flow Rate,4.45e-07,3.0348999999999997e-07,6.519249999999999e-07,Uniform,Float,20
WaterUse:Equipment,DHW Level1Z1:Zone3,Peak Flow Rate,3.6299999999999995e-07,2.47566e-07,5.317949999999999e-07,Uniform,Float,21
WaterUse:Equipment,DHW Level1Z1:Zone5,Peak Flow Rate,2.8499999999999997e-07,1.9437e-07,4.175250000000001e-07,Uniform,Float,22
WaterUse:Equipment,DHW Level1Z1:Zone6,Peak Flow Rate,2.83e-07,1.93006e-07,4.14595e-07,Uniform,Float,23
WaterUse:Equipment,DHW Level1Z1:Zone8,Peak Flow Rate,2.98e-07,2.03236e-07,4.3657e-07,Uniform,Float,24
WaterUse:Equipment,DHW Level1Z1:Zone10,Peak Flow Rate,2.87e-07,1.95734e-07,4.2045500000000007e-07,Uniform,Float,25
WaterUse:Equipment,DHW Level1Z1:Zone28,Peak Flow Rate,4.96e-08,3.38272e-08,7.2664e-08,Uniform,Float,26
WaterUse:Equipment,DHW Level1Z1:Zone11,Peak Flow Rate,2.2599999999999996e-07,1.54132e-07,3.310900000000001e-07,Uniform,Float,27
WaterUse:Equipment,DHW Level1Z1:Zone13,Peak Flow Rate,2.86e-07,1.95052e-07,4.1898999999999997e-07,Uniform,Float,28
WaterUse:Equipment,DHW Level2:Zone4,Peak Flow Rate,3.39e-07,2.31198e-07,4.96635e-07,Uniform,Float,29
WaterUse:Equipment,DHW Level2:Zone5,Peak Flow Rate,3.2499999999999996e-07,2.2164999999999998e-07,4.7612500000000004e-07,Uniform,Float,30
WaterUse:Equipment,DHW Level2:Zone3,Peak Flow Rate,3.09e-07,2.10738e-07,4.5268499999999993e-07,Uniform,Float,31
WaterUse:Equipment,DHW Level2:Zone6,Peak Flow Rate,3.99e-07,2.72118e-07,5.84535e-07,Uniform,Float,32
WaterUse:Equipment,DHW Level2:Zone12,Peak Flow Rate,3.99e-07,2.72118e-07,5.84535e-07,Uniform,Float,33
WaterUse:Equipment,DHW Level2:Zone26,Peak Flow Rate,6.8e-08,4.6376e-08,9.962e-08,Uniform,Float,34
WaterUse:Equipment,DHW Level2:Zone7,Peak Flow Rate,3.31e-07,2.25742e-07,4.84915e-07,Uniform,Float,35
WaterUse:Equipment,DHW Level2:Zone1,Peak Flow Rate,2.74e-07,1.86868e-07,4.0141e-07,Uniform,Float,36
WaterUse:Equipment,DHW Level2:Zone18,Peak Flow Rate,2.7999999999999997e-07,1.9096e-07,4.102e-07,Uniform,Float,37
WaterUse:Equipment,DHW Level2:Zone29,Peak Flow Rate,6.99e-07,4.7671799999999994e-07,1.024035e-06,Uniform,Float,38
WaterUse:Equipment,DHW Level0:Zone2,Peak Flow Rate,1.38e-07,9.411600000000001e-08,2.0217e-07,Uniform,Float,39
WaterUse:Equipment,DHW Level0:Zone35,Peak Flow Rate,1.85e-07,1.2617e-07,2.7102500000000003e-07,Uniform,Float,40
WaterUse:Equipment,DHW Level0:Zone28,Peak Flow Rate,9.199999999999999e-08,6.2744e-08,1.3478e-07,Uniform,Float,41
WaterUse:Equipment,DHW Level0:Zone6,Peak Flow Rate,2.35e-07,1.6027e-07,3.4427500000000003e-07,Uniform,Float,42
WaterUse:Equipment,DHW Level0:Zone8,Peak Flow Rate,1.3999999999999998e-07,9.548e-08,2.051e-07,Uniform,Float,43
WaterUse:Equipment,DHW Level0:Zone13,Peak Flow Rate,2.4399999999999996e-07,1.66408e-07,3.5746e-07,Uniform,Float,44
WaterUse:Equipment,DHW Level0:Zone7,Peak Flow Rate,8.560000000000001e-08,5.837920000000001e-08,1.25404e-07,Uniform,Float,45
WaterUse:Equipment,DHW Level0:Zone32,Peak Flow Rate,9.14e-06,6.233480000000001e-06,1.33901e-05,Uniform,Float,46
WaterUse:Equipment,DHW Level0:Zone1,Peak Flow Rate,2.8499999999999997e-07,1.9437e-07,4.175250000000001e-07,Uniform,Float,47
WaterUse:Equipment,DHW Level0:Zone27,Peak Flow Rate,5.6600000000000004e-08,3.86012e-08,8.2919e-08,Uniform,Float,48
WaterUse:Equipment,DHW Level0:Zone20,Peak Flow Rate,2.2699999999999998e-07,1.54814e-07,3.325550000000001e-07,Uniform,Float,49
WaterUse:Equipment,DHW Level0:Zone21,Peak Flow Rate,2.59e-07,1.766379999999999e-07,3.79435e-07,Uniform,Float,50
WaterUse:Equipment,DHW Level0:Zone45,Peak Flow Rate,8.32e-08,5.67424e-08,1.2188799999999999e-07,Uniform,Float,51
WaterUse:Equipment,DHW Level0:Zone30,Peak Flow Rate,2.16e-07,1.47312e-07,3.1644e-07,Uniform,Float,52
WaterUse:Equipment,DHW Level0:Zone23,Peak Flow Rate,1.82e-07,1.241239999999999e-07,2.6663e-07,Uniform,Float,53
WaterUse:Equipment,DHW Level0:Zone4,Peak Flow Rate,2.77e-07,1.88914e-07,4.0580499999999997e-07,Uniform,Float,54
WaterUse:Equipment,DHW Level0:Zone25,Peak Flow Rate,1.57e-07,1.07074e-07,2.30005e-07,Uniform,Float,55
WaterUse:Equipment,DHW Level0:Zone38,Peak Flow Rate,2.58e-07,1.75956e-07,3.7797e-07,Uniform,Float,56
WaterUse:Equipment,DHW Level0:Zone26,Peak Flow Rate,9.28e-08,6.328960000000001e-08,1.35952e-07,Uniform,Float,57
WaterUse:Equipment,DHW Level0:Zone24,Peak Flow Rate,9.25e-08,6.308500000000001e-08,1.355125e-07,Uniform,Float,58
WaterUse:Equipment,DHW Level0:Zone22,Peak Flow Rate,1.7199999999999998e-07,1.17304e-07,2.5198e-07,Uniform,Float,59
WaterUse:Equipment,DHW Level0:Zone29,Peak Flow Rate,1.44e-07,9.8208e-08,2.1095999999999998e-07,Uniform,Float,60
WaterUse:Equipment,DHW Level0:Zone31,Peak Flow Rate,1.1499999999999998e-07,7.843e-08,1.68475e-07,Uniform,Float,61
WaterUse:Equipment,DHW Level0:Zone9,Peak Flow Rate,2.64e-07,1.800479999999999e-07,3.8675999999999995e-07,Uniform,Float,62
WaterUse:Equipment,DHW Level0AddedPart:Zone2,Peak Flow Rate,1.51e-07,1.0298199999999999e-07,2.2121499999999999e-07,Uniform,Float,63
WaterUse:Equipment,DHW Level0AddedPart:Zone3,Peak Flow Rate,9.019999999999999e-07,6.15164e-07,1.32143e-06,Uniform,Float,64
WaterUse:Equipment,DHW Level1AddedPart:Zone1,Peak Flow Rate,2.39e-07,1.6299800000000001e-07,3.50135e-07,Uniform,Float,65
WaterUse:Equipment,DHW Level1AddedPart:Zone13,Peak Flow Rate,1.02e-06,6.9564e-07,1.4942999999999998e-06,Uniform,Float,66
